Wall time,Step,Value
1706577646.3834965,92000,8394.5712890625
1706577751.9203959,92500,8503.6962890625
1706577859.9275515,93000,8051.10595703125
1706577967.2969348,93500,8430.6435546875
1706578075.1310961,94000,8470.3408203125
1706578181.0566037,94500,8240.478515625
1706578289.035517,95000,8398.6015625
1706578395.4884694,95500,8369.1416015625
1706578502.6718533,96000,8300.40234375
1706578612.2468536,96500,8357.86328125
1706578719.029213,97000,7948.60302734375
1706578824.2364674,97500,8154.01220703125
1706578931.492563,98000,8519.189453125
1706579037.6111758,98500,8590.4267578125
1706579141.509157,99000,8574.1484375
1706579244.2801409,99500,8598.3544921875
1706579346.745349,100000,8345.8837890625
