,Stats/Mixed return,Stats/Suboptimal return,Stats/Expert return,Stats/Cede Control,Stats/Novel,Stats/Risky
71000,8645.5400390625,1171.1689453125,8784.2841796875,1.0,0.0020000000949949026,0.0
71500,8889.478515625,6648.9208984375,8784.2841796875,1.0,0.0,0.0
72000,8745.6220703125,6522.62890625,8784.2841796875,1.0,0.0010000000474974513,0.0
72500,8830.25390625,6534.80712890625,8784.2841796875,1.0,0.0020000000949949026,0.0
73000,8815.7880859375,6401.6142578125,8784.2841796875,1.0,0.0010000000474974513,0.0
73500,8779.3134765625,6590.23974609375,8784.2841796875,1.0,0.0,0.0
74000,8799.203125,6574.56103515625,8784.2841796875,1.0,0.0,0.0
74500,8746.478515625,6545.42333984375,8784.2841796875,1.0,0.0020000000949949026,0.0
75000,8780.33203125,6406.60205078125,8784.2841796875,1.0,0.003000000026077032,0.0
75500,8777.7587890625,435.10650634765625,8784.2841796875,1.0,0.0,0.0
76000,8865.5439453125,6386.529296875,8784.2841796875,1.0,0.003000000026077032,0.0
76500,8865.232421875,6347.73193359375,8784.2841796875,1.0,0.0010000000474974513,0.0
77000,8829.33203125,348.6299743652344,8784.2841796875,1.0,0.0010000000474974513,0.0
77500,8807.2734375,6543.90869140625,8784.2841796875,1.0,0.0,0.0
78000,8715.33984375,6431.86767578125,8784.2841796875,1.0,0.003000000026077032,0.0
78500,8800.513671875,6717.20361328125,8784.2841796875,1.0,0.0010000000474974513,0.0
79000,8776.4306640625,6498.3984375,8784.2841796875,1.0,0.0010000000474974513,0.0
79500,8832.50390625,6588.8369140625,8784.2841796875,1.0,0.0,0.0
80000,8843.521484375,6531.30615234375,8784.2841796875,1.0,0.0010000000474974513,0.0
80500,8764.431640625,6450.21533203125,8784.2841796875,1.0,0.0020000000949949026,0.0
81000,8828.1044921875,6331.98193359375,8784.2841796875,1.0,0.0010000000474974513,0.0
81500,8807.763671875,6531.1083984375,8784.2841796875,1.0,0.0010000000474974513,0.0
82000,8899.470703125,5233.5634765625,8784.2841796875,1.0,0.0020000000949949026,0.0
82500,8736.8134765625,6390.73828125,8784.2841796875,1.0,0.003000000026077032,0.0
83000,8771.6630859375,4657.109375,8784.2841796875,1.0,0.0010000000474974513,0.0
83500,8836.8056640625,6256.48583984375,8784.2841796875,1.0,0.0020000000949949026,0.0
84000,8872.6337890625,471.0150146484375,8784.2841796875,1.0,0.0010000000474974513,0.0
84500,8819.18359375,6330.47021484375,8784.2841796875,1.0,0.0,0.0
85000,8821.9423828125,6464.39453125,8784.2841796875,1.0,0.0020000000949949026,0.0
85500,8828.1923828125,6325.20751953125,8784.2841796875,1.0,0.0,0.0
86000,8696.7275390625,6484.833984375,8784.2841796875,1.0,0.0010000000474974513,0.0
86500,8677.3984375,6375.19287109375,8784.2841796875,1.0,0.0,0.0
87000,8818.453125,4777.724609375,8784.2841796875,1.0,0.003000000026077032,0.0
87500,8854.841796875,6343.56005859375,8784.2841796875,1.0,0.0,0.0
88000,8740.5009765625,6307.10888671875,8784.2841796875,1.0,0.0,0.0
88500,8720.9560546875,69.5527572631836,8784.2841796875,1.0,0.0010000000474974513,0.0
89000,8774.923828125,6409.0498046875,8784.2841796875,1.0,0.0010000000474974513,0.0
89500,8796.337890625,6326.47509765625,8784.2841796875,1.0,0.004000000189989805,0.0
90000,8805.02734375,2970.433349609375,8784.2841796875,1.0,0.0,0.0
90500,8834.8681640625,6397.20751953125,8784.2841796875,1.0,0.0020000000949949026,0.0
91000,8820.076171875,6492.423828125,8784.2841796875,1.0,0.0020000000949949026,0.0
91500,8702.767578125,4739.7685546875,8784.2841796875,1.0,0.0020000000949949026,0.0
92000,8799.2763671875,6556.947265625,8784.2841796875,1.0,0.0020000000949949026,0.0
92500,8753.9345703125,6243.2216796875,8784.2841796875,1.0,0.003000000026077032,0.0
93000,8871.12890625,6196.7138671875,8784.2841796875,1.0,0.0,0.0
93500,8800.0380859375,6481.59228515625,8784.2841796875,1.0,0.0010000000474974513,0.0
94000,8838.5458984375,3469.732177734375,8784.2841796875,1.0,0.0010000000474974513,0.0
94500,8816.8115234375,2001.2587890625,8784.2841796875,1.0,0.0010000000474974513,0.0
95000,8764.236328125,6560.3037109375,8784.2841796875,1.0,0.0,0.0
95500,8762.7373046875,6224.3251953125,8784.2841796875,1.0,0.0,0.0
